#FID IID
4280834 4280834
2556123 2556123
4876535 4876535
5811854 5811854
1548099 1548099
4393508 4393508
3291761 3291761
1895873 1895873
5552629 5552629
5311797 5311797
1993627 1993627
1914768 1914768
3508127 3508127
5728627 5728627
4625855 4625855
2990178 2990178
2072392 2072392
3010165 3010165
2675462 2675462
5069389 5069389
4402580 4402580
5507052 5507052
2659703 2659703
4869830 4869830
1402978 1402978
4616558 4616558
4445334 4445334
1634368 1634368
1628382 1628382
1420866 1420866
5332267 5332267
2720548 2720548
3256577 3256577
5730778 5730778
2402999 2402999
3272493 3272493
4037190 4037190
4059076 4059076
2685568 2685568
1966509 1966509
3927569 3927569
5728163 5728163
1217160 1217160
2426508 2426508
2011488 2011488
1155283 1155283
4348772 4348772
4630387 4630387
2778129 2778129
3799816 3799816
3309616 3309616
1181533 1181533
3959722 3959722
3670786 3670786
5125941 5125941
1486780 1486780
3940075 3940075
5690423 5690423
3610120 3610120
5175854 5175854
1111621 1111621
2195602 2195602
4871844 4871844
5865702 5865702
2741074 2741074
2446214 2446214
1082333 1082333
3774024 3774024
1690191 1690191
5023891 5023891
5611435 5611435
5059729 5059729
2290845 2290845
2685709 2685709
4868994 4868994
2576161 2576161
5979533 5979533
1892342 1892342
3376202 3376202
3241993 3241993
4371496 4371496
4264645 4264645
3256238 3256238
3120800 3120800
3826126 3826126
3277484 3277484
2992746 2992746
3154024 3154024
4262836 4262836
5073881 5073881
2369657 2369657
1563535 1563535
1663398 1663398
3550438 3550438
3993152 3993152
3429708 3429708
3036736 3036736
3950906 3950906
5151984 5151984
2834651 2834651
2436772 2436772
4713880 4713880
2044004 2044004
2710758 2710758
1509909 1509909
1817737 1817737
1596282 1596282
3655983 3655983
3174286 3174286
2679461 2679461
5710259 5710259
5239733 5239733
2083029 2083029
5186842 5186842
2116289 2116289
5184982 5184982
2683536 2683536
3101014 3101014
2329943 2329943
5942968 5942968
3722504 3722504
1909112 1909112
5717696 5717696
6001110 6001110
2768556 2768556
4258238 4258238
2346219 2346219
1565726 1565726
3001170 3001170
5530651 5530651
2447592 2447592
3470499 3470499
1203886 1203886
4535109 4535109
1531076 1531076
4821883 4821883
4979122 4979122
3383274 3383274
4790739 4790739
5984895 5984895
5636507 5636507
1744174 1744174
5663510 5663510
5982837 5982837
2304061 2304061
4107294 4107294
5609270 5609270
1804365 1804365
2440453 2440453
3101621 3101621
2856505 2856505
2769087 2769087
1640299 1640299
5310386 5310386
5281695 5281695
4329826 4329826
3497770 3497770
4115564 4115564
5484631 5484631
1266056 1266056
3408163 3408163
2911634 2911634
4630181 4630181
4547456 4547456
6008316 6008316
1335629 1335629
2037574 2037574
4707179 4707179
5634047 5634047
3756614 3756614
3263425 3263425
2754952 2754952
1984539 1984539
5270685 5270685
2538220 2538220
1147020 1147020
1357369 1357369
1114931 1114931
3227115 3227115
5716291 5716291
3188859 3188859
1113963 1113963
3702677 3702677
5507699 5507699
5632292 5632292
2779572 2779572
5388835 5388835
1186898 1186898
4182480 4182480
5430515 5430515
1746160 1746160
2242089 2242089
1915158 1915158
5488859 5488859
2029176 2029176
5970333 5970333
1378522 1378522
2745786 2745786
1655132 1655132
1904438 1904438
4600459 4600459
5492806 5492806
4995036 4995036
2284751 2284751
5480058 5480058
1712015 1712015
1760114 1760114
2510268 2510268
1454935 1454935
1430480 1430480
2986112 2986112
4018590 4018590
3152115 3152115
1580998 1580998
1072290 1072290
3069061 3069061
3812676 3812676
5856319 5856319
1599920 1599920
1344645 1344645
5662045 5662045
1449887 1449887
3876720 3876720
3793469 3793469
4781816 4781816
3636537 3636537
2328296 2328296
2570943 2570943
5741497 5741497
4125840 4125840
5740829 5740829
4644851 4644851
5988969 5988969
5870798 5870798
2959965 2959965
3074194 3074194
5514393 5514393
2022188 2022188
3612461 3612461
2694222 2694222
1543967 1543967
1003366 1003366
3253833 3253833
3833130 3833130
5225582 5225582
2229726 2229726
3766086 3766086
4274322 4274322
4823732 4823732
