#sampleID,sum_PRS,SNP_N
0_100056,11901.6338868407,604541
0_100108,11929.422691090658,604541
0_100193,11922.485534990932,604541
0_100201,11899.582839981606,604541
0_100259,11913.374858639356,604541
0_100298,11923.349308212732,604541
0_100368,11913.176914837644,604541
0_100473,11929.649554921023,604541
0_100529,11892.842347611037,604541
0_100625,11923.66921226164,604541
0_100696,11904.627733556428,604541
0_100749,11898.83339153986,604541
0_100786,11901.83618237417,604541
0_100804,11897.568106022374,604541
0_100818,11925.883593901006,604541
0_100898,11894.88625631902,604541
0_100924,11912.051722936085,604541
0_101029,11940.449417149066,604541
0_101145,11908.779016400322,604541
0_101215,11922.028737246383,604541
0_101368,11919.381494668585,604541
0_101415,11912.920172277098,604541
0_101450,11903.100474495355,604541
0_101506,11932.095132347524,604541
0_101534,11909.052678675602,604541
0_101577,11915.107616051964,604541
0_101612,11887.051699554358,604541
0_102041,11917.719512273996,604541
0_102142,11908.140723282379,604541
0_102245,11935.143408590806,604541
0_102406,11899.180202822186,604541
0_102440,11936.12123606296,604541
0_102443,11905.661891766866,604541
0_102578,11912.820245062234,604541
0_102655,11900.618834002677,604541
0_102700,11896.845107084617,604541
0_102790,11935.473878088256,604541
0_102881,11906.623661992451,604541
0_103291,11908.732882969043,604541
0_103359,11926.414189093302,604541
0_103360,11908.115017893982,604541
0_103393,11900.88595848746,604541
0_103431,11917.087759713322,604541
0_103630,11936.469738636797,604541
0_103673,11919.662158522104,604541
0_103687,11929.81441997069,604541
0_103769,11923.347866176327,604541
0_103796,11904.746970105598,604541
0_103892,11909.69769443236,604541
0_103989,11908.871525438217,604541
0_104046,11891.551381466565,604541
0_104051,11924.959680305812,604541
0_104068,11934.011088259489,604541
0_104133,11923.538460316668,604541
0_104228,11931.156057967726,604541
0_104281,11925.437531568394,604541
0_104502,11915.220272116354,604541
0_104587,11921.618672512273,604541
0_104636,11910.467891097374,604541
0_104652,11920.442348167953,604541
0_104698,11881.197395246609,604541
0_104730,11919.768386793223,604541
0_104832,11891.53285342903,604541
0_104915,11917.941016919183,604541
0_105047,11922.899924944319,604541
0_105061,11920.347828970098,604541
0_105198,11930.720521189856,604541
0_105256,11886.721358645662,604541
0_105293,11905.83950287077,604541
0_105331,11895.838588695093,604541
0_105370,11928.758418726089,604541
0_105374,11926.290936732115,604541
0_105572,11915.291795444875,604541
0_105649,11932.08483868018,604541
0_105807,11914.235482720118,604541
0_105850,11919.318821938392,604541
0_105861,11928.352710121162,604541
0_105881,11909.1056441922,604541
0_105896,11941.25528310407,604541
0_105909,11909.025255635092,604541
0_105949,11919.733718965224,604541
0_106181,11903.360231285724,604541
0_106188,11918.920695607714,604541
0_106292,11924.18111394476,604541
0_106322,11904.477692396753,604541
0_106328,11926.172219826607,604541
0_106332,11927.262003057836,604541
0_106365,11914.934973068997,604541
0_106378,11898.70793317793,604541
0_106558,11942.652011979546,604541
0_106596,11918.710252196986,604541
0_106645,11894.763422233624,604541
0_106648,11933.234228525445,604541
0_106752,11928.45188277703,604541
0_106834,11912.84582165328,604541
0_106845,11924.900511766005,604541
0_106877,11921.723386544467,604541
0_106910,11931.594554545076,604541
0_107154,11908.990019312818,604541
0_107276,11929.250372847266,604541
0_107279,11919.762874786475,604541
0_107297,11921.547457946474,604541
0_107354,11918.463686458424,604541
0_107389,11919.84731001485,604541
0_107442,11917.971866965687,604541
0_107469,11930.89015272968,604541
0_107485,11902.53030407471,604541
0_107565,11928.468033084739,604541
0_107718,11907.821056614064,604541
0_107721,11910.905702276332,604541
0_107798,11901.820598904837,604541
0_107856,11923.304858265166,604541
0_107890,11913.746655045254,604541
0_107975,11931.235003152053,604541
0_107984,11923.984999521232,604541
0_108127,11929.468319476486,604541
0_108187,11895.487493264667,604541
0_108246,11918.128507715952,604541
0_108560,11910.361061419346,604541
0_108570,11917.043370645202,604541
0_108617,11919.057729675436,604541
0_108735,11930.100820462552,604541
0_108737,11917.707824159444,604541
0_108738,11916.756680954284,604541
0_108786,11921.046860921619,604541
0_108875,11939.526139482869,604541
0_108947,11922.828349006464,604541
0_108980,11907.528298705422,604541
0_108994,11922.470780999058,604541
0_109000,11927.182695168794,604541
0_109120,11933.853738858046,604541
0_109203,11924.016281197317,604541
0_109311,11911.255527528607,604541
0_109420,11923.632543198517,604541
0_109497,11916.374635868719,604541
0_109557,11907.839340126005,604541
0_109666,11903.269095073725,604541
0_109794,11918.185176383495,604541
0_109821,11933.008705147382,604541
0_109841,11910.071705059208,604541
0_109917,11917.494957763796,604541
0_110164,11916.768248845341,604541
0_110228,11936.994255929289,604541
0_110244,11910.703077620461,604541
0_110261,11933.866272448151,604541
0_110360,11938.018005707181,604541
0_110444,11931.310493693409,604541
0_110464,11927.555943920383,604541
0_110488,11922.155113363962,604541
0_110494,11910.847010091316,604541
0_110529,11923.133141860193,604541
0_110626,11910.271327947823,604541
0_110795,11935.484937425961,604541
0_110870,11927.841877146035,604541
0_111097,11917.449486725689,604541
0_111108,11913.846952342392,604541
0_111166,11895.680051875048,604541
0_111176,11952.713938949537,604541
0_111195,11912.979916890374,604541
0_111234,11906.872971548937,604541
0_111241,11919.684754733757,604541
0_111266,11907.328623262076,604541
0_111296,11917.238136140219,604541
0_111470,11928.954772994855,604541
0_111586,11899.54907025949,604541
0_111610,11913.854263602921,604541
0_111649,11918.816523534275,604541
0_111707,11899.08850908288,604541
0_111771,11915.885071812014,604541
0_111781,11916.432073754844,604541
0_111820,11908.348753033795,604541
0_111829,11899.934484326244,604541
0_111893,11902.399014012488,604541
0_111920,11924.443360911098,604541
0_111949,11920.383191455207,604541
0_111988,11922.434341775766,604541
0_111990,11921.374241884198,604541
0_112118,11915.956022511084,604541
0_112225,11916.960770329477,604541
0_112263,11906.934412510602,604541
0_112292,11944.061005207348,604541
