#sampleID,sum_PRS,SNP_N
0_100277,16512.379721004527,604541
0_100579,16401.2036302344,604541
0_104482,16478.971173672686,604541
0_110342,16377.437809337911,604541
0_111021,16582.263869055867,604541
0_111252,16464.191070695073,604541
0_112369,16474.321022522672,604541
0_114247,16440.110334142923,604541
0_116067,16410.222268719815,604541
0_120579,16437.420759548328,604541
0_122464,16377.156317328016,604541
0_124990,16495.74101810862,604541
0_127293,16497.419019332872,604541
0_127758,16471.448433755897,604541
0_129572,16488.595596059167,604541
0_130548,16459.896201043415,604541
0_130819,16450.897713535545,604541
0_132169,16492.611962962408,604541
0_134328,16485.968894362413,604541
0_134367,16495.211914464562,604541
0_134943,16459.36363859943,604541
0_136105,16435.19573888152,604541
0_136177,16505.75971415118,604541
0_136466,16433.541566223044,604541
0_136645,16516.899382770873,604541
0_137682,16537.815686647307,604541
0_141456,16396.584574364577,604541
0_142669,16505.868133506512,604541
0_143546,16446.69568587682,604541
0_144706,16533.329283635027,604541
0_145248,16465.058021009983,604541
0_146254,16463.073278329786,604541
0_147768,16498.321855492726,604541
0_149197,16479.085766805787,604541
0_149954,16407.394396953,604541
0_152569,16502.153715531782,604541
0_153369,16449.455863579307,604541
0_153809,16475.029514681646,604541
0_157010,16513.513046244974,604541
0_164212,16525.34904995535,604541
0_164389,16483.165337962662,604541
0_166699,16424.24132196024,604541
0_170035,16465.313582099454,604541
0_171045,16553.26983633045,604541
0_171313,16470.960451357565,604541
0_172126,16464.7852819876,604541
0_172804,16470.149145736712,604541
0_176132,16417.516773229017,604541
0_178001,16413.83737376391,604541
0_178581,16471.064551724165,604541
0_179948,16510.702633186327,604541
0_181181,16433.754637445913,604541
0_182015,16418.276113132637,604541
0_183821,16447.302072048253,604541
0_187084,16448.41078940079,604541
0_187299,16399.83101823955,604541
0_187816,16453.362507321766,604541
0_188827,16497.03677339442,604541
0_189235,16463.993873745756,604541
0_189532,16455.447435450445,604541
0_189714,16443.237501442847,604541
0_191540,16506.641300599964,604541
0_192069,16461.247986402876,604541
0_193775,16506.985644535307,604541
0_197113,16466.379452154277,604541
0_197911,16482.920311631493,604541
0_198054,16413.084888897425,604541
0_200064,16475.596090988085,604541
0_200239,16495.194908732105,604541
0_200649,16412.451156142248,604541
0_200948,16345.497405608658,604541
0_202050,16470.968321416884,604541
0_202341,16482.66035553038,604541
0_203050,16417.865124821274,604541
0_205015,16378.980878180704,604541
0_206131,16519.220219687446,604541
0_206281,16406.76564375155,604541
0_209990,16445.93654912857,604541
0_211140,16454.861458682288,604541
0_216174,16497.909226791602,604541
0_219178,16365.210182664596,604541
0_221386,16436.638198683275,604541
0_224580,16548.782936484433,604541
0_229297,16339.627864355401,604541
0_229481,16443.175431837484,604541
0_230183,16410.79009110082,604541
0_230939,16480.94182927589,604541
0_233178,16465.530647706484,604541
0_233509,16448.84769524022,604541
0_234187,16535.126757459744,604541
0_237208,16458.662453370885,604541
0_237827,16582.142081578782,604541
0_238446,16426.191107157345,604541
0_239391,16480.96062156468,604541
0_239683,16465.4471635483,604541
0_240200,16525.755367007805,604541
0_242635,16418.060821577263,604541
0_245496,16431.36292970604,604541
0_247306,16524.51658001298,604541
0_250961,16429.35785803393,604541
0_252605,16495.300605030567,604541
0_252905,16465.180955602224,604541
0_253580,16520.32368276312,604541
0_254190,16492.034672711325,604541
0_254508,16436.41325429398,604541
