#sampleID,sum_PRS,SNP_N
0_100056,16467.24064802383,604541
0_100108,16481.67462390193,604541
0_100193,16468.749602898664,604541
0_100201,16453.50626592889,604541
0_100259,16465.72256635165,604541
0_100298,16495.727772625167,604541
0_100368,16475.814931814268,604541
0_100473,16462.989288670564,604541
0_100529,16442.575925546316,604541
0_100625,16448.304561886078,604541
0_100696,16465.694199630227,604541
0_100749,16476.240970105282,604541
0_100786,16468.529014658132,604541
0_100804,16471.95770733831,604541
0_100818,16462.082299430775,604541
0_100898,16469.949835529154,604541
0_100924,16459.41240528033,604541
0_101029,16448.00279886024,604541
0_101145,16459.975831096377,604541
0_101215,16453.897669950253,604541
0_101368,16470.26370274465,604541
0_101415,16473.12114298005,604541
0_101450,16439.258768270374,604541
0_101506,16458.105418297153,604541
0_101534,16475.613447202526,604541
0_101577,16489.64640449275,604541
0_101612,16460.049322916075,604541
0_102041,16452.633986568166,604541
0_102142,16475.961973519403,604541
0_102245,16446.86026756195,604541
0_102406,16477.284860343396,604541
0_102440,16446.628222821233,604541
0_102443,16481.58602408649,604541
0_102578,16441.522480090316,604541
0_102655,16470.304048014994,604541
0_102700,16468.63264927965,604541
0_102790,16444.35285720174,604541
0_102881,16469.360221409876,604541
0_103291,16470.258716685716,604541
0_103359,16478.397268296118,604541
0_103360,16489.39125270016,604541
0_103393,16447.37200392181,604541
0_103431,16479.57875967964,604541
0_103630,16469.418130815593,604541
0_103673,16464.34915122352,604541
0_103687,16483.348460171233,604541
0_103769,16480.71026770847,604541
0_103796,16472.753074306856,604541
0_103892,16462.77015978633,604541
0_103989,16460.1389813215,604541
0_104046,16453.78352744148,604541
0_104051,16478.28630590957,604541
0_104068,16466.17358291497,604541
0_104133,16476.01919917923,604541
0_104228,16496.200140263172,604541
0_104281,16482.9741271725,604541
0_104502,16459.344090644707,604541
0_104587,16490.1119820152,604541
0_104636,16461.020524110798,604541
0_104652,16462.490510639385,604541
0_104698,16487.704711901486,604541
0_104730,16474.132330405082,604541
0_104832,16467.717349321163,604541
0_104915,16456.44671572896,604541
0_105047,16468.920094855515,604541
0_105061,16465.559248412676,604541
0_105198,16468.384348402793,604541
0_105256,16471.742632033238,604541
0_105293,16473.19983866383,604541
0_105331,16472.978454902164,604541
0_105370,16455.853750234503,604541
0_105374,16481.013246851122,604541
0_105572,16454.49783002502,604541
0_105649,16504.60894323499,604541
0_105807,16491.823761859807,604541
0_105850,16450.612831728282,604541
0_105861,16477.948644430297,604541
0_105881,16490.08455537964,604541
0_105896,16453.61538831348,604541
0_105909,16489.065160879152,604541
0_105949,16470.845260243324,604541
0_106181,16466.942648906715,604541
0_106188,16497.097450957386,604541
0_106292,16458.796991285355,604541
0_106322,16467.32911982552,604541
0_106328,16473.62405699949,604541
0_106332,16473.184788274022,604541
0_106365,16476.741892513917,604541
0_106378,16472.968962683604,604541
0_106558,16435.050241810855,604541
0_106596,16447.662140737375,604541
0_106645,16470.93402960778,604541
0_106648,16446.95232058926,604541
0_106752,16472.3280632162,604541
0_106834,16516.322842588153,604541
0_106845,16477.026938537612,604541
0_106877,16476.90115438725,604541
0_106910,16496.830481186487,604541
0_107154,16500.38712647816,604541
0_107276,16447.852167188084,604541
0_107279,16471.138282123597,604541
0_107297,16460.536285053473,604541
0_107354,16469.6255528899,604541
0_107389,16497.713589962663,604541
0_107442,16484.17493354271,604541
0_107469,16506.71087701062,604541
0_107485,16460.855519773555,604541
0_107565,16474.229348658213,604541
0_107718,16482.902185378178,604541
0_107721,16430.87170859168,604541
0_107798,16451.771752135643,604541
0_107856,16453.51444101048,604541
0_107890,16452.634284538286,604541
0_107975,16459.50199053427,604541
0_107984,16485.65820643753,604541
0_108127,16478.81967376371,604541
0_108187,16456.168533904336,604541
0_108246,16489.747030405368,604541
0_108560,16480.898357165126,604541
0_108570,16463.354289212566,604541
0_108617,16445.280602286755,604541
0_108735,16484.639280944182,604541
0_108737,16466.337378764223,604541
0_108738,16464.198996203773,604541
0_108786,16461.96999415644,604541
0_108875,16465.036985415838,604541
0_108947,16475.14173240953,604541
0_108980,16478.5986655809,604541
0_108994,16465.387965849564,604541
0_109000,16448.880696310473,604541
0_109120,16444.58395827393,604541
0_109203,16471.369761218248,604541
0_109311,16468.808723407703,604541
0_109420,16487.56725925896,604541
0_109497,16459.917022525362,604541
0_109557,16465.286434427133,604541
0_109666,16442.910727363727,604541
0_109794,16468.909409143642,604541
0_109821,16464.804017173745,604541
0_109841,16453.319416849314,604541
0_109917,16479.25866849279,604541
0_110164,16453.58902945748,604541
0_110228,16449.7518032626,604541
0_110244,16486.223581278315,604541
0_110261,16466.22304238893,604541
0_110360,16452.113586695352,604541
0_110444,16474.68996055399,604541
0_110464,16464.449933129777,604541
0_110488,16469.23119293191,604541
0_110494,16428.89543631311,604541
0_110529,16470.083539669416,604541
0_110626,16476.857265761864,604541
0_110795,16475.056464904046,604541
